135942066.txt,"Spiritualist newspaper - No.215, October 6th 1876 - P.20"
135942067.txt,"Spiritualist newspaper - No.216, October 13th 1876 - P.20"
135944132.txt,"Spiritualist newspaper - No.217, October 20th 1876 - P.20"
135950013.txt,"Spiritualist newspaper - No.218, October 27th 1876 - P.20"
135950014.txt,"Spiritualist newspaper - No.219, November 3rd 1876 - P.20"
135950015.txt,"Spiritualist newspaper - No.220, November 10th 1876 - P.20"
135950016.txt,"Spiritualist newspaper - No.221, November 17th 1876 - P.20"
135950017.txt,"Spiritualist newspaper - No.222, November 24th 1876 - P.20"
135950018.txt,"Spiritualist newspaper - No.223, December 1st 1876 - P.20"
135950019.txt,"Spiritualist newspaper - No.224, December 8th 1876 - P.20"
135950020.txt,"Spiritualist newspaper - No.225, December 15th 1876 - P.20"
135950021.txt,"Spiritualist newspaper - No.226, December 22nd 1876 - P.20"
135950022.txt,"Spiritualist newspaper - No.227, December 29th 1876 - P.20"
135950024.txt,"Spiritualist newspaper - No.228, January 5th 1877 - P.20"
135950025.txt,"Spiritualist newspaper - No.229, January 12th 1877 - P.20"
135950026.txt,"Spiritualist newspaper - No.230, January 19th 1877 - P.20"
135950027.txt,"Spiritualist newspaper - No.231, January 26th 1877 - P.20"
135950028.txt,"Spiritualist newspaper - No.232, February 2nd 1877 - P.20"
135950029.txt,"Spiritualist newspaper - No.233, February 9th 1877 - P.20"
135950030.txt,"Spiritualist newspaper - No.234, February 16th 1877 - P.20"
135950031.txt,"Spiritualist newspaper - No.235, February 23rd 1877 - P.20"
135950032.txt,"Spiritualist newspaper - No.236, March 2nd 1877 - P.20"
135950033.txt,"Spiritualist newspaper - No.237, March 9th 1877 - P.20"
135950034.txt,"Spiritualist newspaper - No.238, March 23rd 1877 - P.20"
135950035.txt,"Spiritualist newspaper - No.239, March 23rd 1877 - P.20"
135950036.txt,"Spiritualist newspaper - No.240, March 30th 1877 - P.20"
135950037.txt,"Spiritualist newspaper - No.241, April 6th 1877 - P.20"
135950038.txt,"Spiritualist newspaper - No.242, April 13th 1877 - P.20"
135950039.txt,"Spiritualist newspaper - No.243, April 20th 1877 - P.20"
135950040.txt,"Spiritualist newspaper - No.244, April 27th 1877 - P.20"
135950041.txt,"Spiritualist newspaper - No.245, May 4th 1877 - P.20"
135950042.txt,"Spiritualist newspaper - No.246, May 11th 1877 - P.20"
135954027.txt,"Spiritualist newspaper - No.247, May 18th 1877 - P.20"
135954028.txt,"Spiritualist newspaper - No.248, May 25th 1877 - P.20"
135954029.txt,"Spiritualist newspaper - No.249, June 1st 1877 - P.20"
135954030.txt,"Spiritualist newspaper - No.250, June 8th 1877 - P.20"
135954031.txt,"Spiritualist newspaper - No.251, June 15th 1877 - P.20"
135954032.txt,"Spiritualist newspaper - No.252, June 22nd 1877 - P.20"
135954033.txt,"Spiritualist newspaper - No.253, June 29th 1877 - P.20"
136341109.txt,"Spiritualist newspaper - No.254, July 6th 1877 - P.20"
136341110.txt,"Spiritualist newspaper - No.255, July 13th 1877 - P.20"
136341111.txt,"Spiritualist newspaper - No.256, July 20th 1877 - P.20"
136341520.txt,"Spiritualist newspaper - No.257, July 27th 1877 - P.20"
136342517.txt,"Spiritualist newspaper - No.258, August 3rd 1877 - P.20"
136343886.txt,"Spiritualist newspaper - No.259, August 10th 1877 - P.20"
136344883.txt,"Spiritualist newspaper - No.260, August 17th 1877 - P.20"
136345892.txt,"Spiritualist newspaper - No.261, August 24th 1877 - P.20"
136345893.txt,"Spiritualist newspaper - No.262, August 31st 1877 - P.20"
136345894.txt,"Spiritualist newspaper - No.263, September 7th 1877 - P.20"
136345895.txt,"Spiritualist newspaper - No.264, September 14th 1877 - P.20"
136345896.txt,"Spiritualist newspaper - No.265, September 21st 1877 - P.20"
136345897.txt,"Spiritualist newspaper - No.266, September 28th 1877 - P.20"
136345898.txt,"Spiritualist newspaper - No.267, October 5th 1877 - P.20"
136345899.txt,"Spiritualist newspaper - No.268, October 12th 1877 - P.20"
136345900.txt,"Spiritualist newspaper - No.269, October 19th 1877 - P.20"
136345901.txt,"Spiritualist newspaper - No.270, October 26th 1877 - P.20"
136345902.txt,"Spiritualist newspaper - No.271, November 2nd 1877 - P.20"
136345903.txt,"Spiritualist newspaper - No.272, November 9th 1877 - P.20"
